S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close
41,10/28/2021,569,91581,49867046.4,560,538,538
42,10/27/2021,1041,193472,105003048.7,558.5,516,551
43,10/26/2021,439,60461,31346044.7,525,513,525
44,10/25/2021,353,47523,24108882.8,513,499,512
45,10/24/2021,337,39448,19694717.1,505,492,503
46,10/21/2021,217,30079,15058229.2,505,494,500.2
47,10/20/2021,225,28247,14082413.8,517.1,492,503.8
48,10/19/2021,376,42712,20766134.8,502,482,493
49,10/18/2021,341,38949,19403293.9,508,494.2,496
50,10/17/2021,153,13824,7014061.5,514.9,505,507.9
51,10/11/2021,250,26076,13179497.6,510.9,500,509
52,10/10/2021,396,51759,26358571.6,524,505,509.5
53,10/6/2021,367,39844,20236639.5,514.9,500,506
54,10/5/2021,314,55864,28139959,507,492,504
55,10/4/2021,340,54880,27300681.6,502,491,497
56,10/3/2021,416,62039,31014736,508,498,498
57,9/30/2021,388,48902,24909992.4,517,505,508
58,9/29/2021,616,78586,39445114.6,512,494.9,512
59,9/28/2021,549,65077,33262318,525,506,509
60,9/27/2021,486,71015,37137368.1,539,515,523
61,9/26/2021,522,80063,43366080.7,560,536,540
62,9/23/2021,665,113896,62392147.2,559,532,545
63,9/22/2021,503,61892,32217081.3,535,510,529
64,9/21/2021,661,80684,40696968.9,518,492,507
65,9/20/2021,759,112904,57412333.4,526,503,507.9
66,9/16/2021,813,84511,43966356.8,535,515,520.2
67,9/15/2021,343,51866,27895691.3,547,535,536
68,9/14/2021,372,50050,27281851.4,552,540,547
69,9/13/2021,470,61708,33836285.9,553,540,546
70,9/12/2021,451,49372,26630314.1,544,535,539
71,9/9/2021,342,37249,19885167.6,543,530,535.3
72,9/8/2021,402,37797,20163896,544.4,530,535
73,9/7/2021,493,39266,21549935.6,555,544,544
74,9/6/2021,744,80904,43816974.4,555,519.1,555
75,9/5/2021,947,118899,62666798.2,542,517.1,529
76,9/2/2021,558,64932,35529772.8,555,540.3,547
77,9/1/2021,858,93937,51361611.7,554,538,548.5
78,8/31/2021,860,99639,54335931.5,556,540,544
79,8/29/2021,707,74915,42328399.5,579,558.7,559
80,8/26/2021,626,73544,41848546.8,574,565,570
81,8/25/2021,576,81382,46515718.9,578.2,568.2,569.2
82,8/24/2021,664,84503,49219211,595,578,580
83,8/19/2021,725,155462,92326148.4,600,590,590.5
84,8/18/2021,1037,203897,120367566.9,600,575,595
85,8/17/2021,706,119069,69667029.5,594,582.1,583.9
86,8/16/2021,839,178209,105553558.6,600,587.2,590
87,8/15/2021,1386,246363,146635661.7,604.9,585,594
88,8/12/2021,1003,207792,123325460.8,599,588,593.1
89,8/11/2021,1623,332172,198846919,620,588,589
90,8/10/2021,867,164275,96495535.9,598,575,593
91,8/9/2021,421,98808,57198073.5,586,576,580
92,8/8/2021,537,106350,61853920,586,580,581
93,8/5/2021,634,128975,74986588.8,587,578,580
94,8/4/2021,667,117917,68448926.5,591.6,577.2,582.5
95,8/3/2021,596,98770,56683067.3,583,571.1,580
96,8/2/2021,486,90713,51842019,574.9,565,573
97,8/1/2021,696,134087,76253606.4,576,565,568
98,7/29/2021,564,107729,61237502.6,575,560,571
99,7/28/2021,694,130006,74440353.6,582,568,570
100,7/27/2021,1589,308307,175821484.2,585,557,575
101,7/26/2021,2286,564272,328592333.8,597,575,579
102,7/25/2021,1808,400066,237788124.3,605.8,582,597
103,7/22/2021,3553,800592,462764640.7,599.5,550.1,588
104,7/20/2021,2057,428610,227485957.1,545.7,506,545
105,7/19/2021,1156,298032,153382628.7,525.3,509,512
106,7/18/2021,1243,199269,99757079.1,510,479,508
107,7/15/2021,341,59702,28580962,482,476,479
108,7/14/2021,248,40531,19467823,488,477,479
109,7/13/2021,274,64679,31120401,483,473,481
110,7/12/2021,480,69957,33776712,494,478,480
111,7/11/2021,479,63968,30839469,488,477,488
112,7/8/2021,312,51483,24480341,480,470,477
113,7/7/2021,308,77933,36803498,482,471,471
114,7/6/2021,294,44597,21095339,477,470,473
115,7/5/2021,283,37585,17831189,484,471,476
116,7/4/2021,423,54096,25875151,487,475,477
117,7/1/2021,450,97084,47377353,491,458,484
118,6/30/2021,401,49724,23777054,484,472,482
119,6/29/2021,504,73114,35682815,503,482,485
120,6/28/2021,908,183885,91725158,517,491,497
121,6/27/2021,946,165483,81133251,500,476,493
122,6/24/2021,895,168916,80883197,491,465,482
123,6/23/2021,500,72529,34455335,482,470,471
124,6/22/2021,728,112308,53646265,483,450,482
125,6/21/2021,862,158267,74615121,495,466,470
126,6/20/2021,1013,185371,89383277,500,466,476
127,6/17/2021,733,132336,65169011,501,489,490
128,6/16/2021,1535,249556,124171992,510,482,492
129,6/15/2021,1781,346796,169789599,497,480,487
130,6/14/2021,1327,238183,113281820,485,460,478
131,6/13/2021,1025,135433,61912993,463,447,461
132,6/10/2021,550,69384,31770966,465,456,457
133,6/9/2021,535,94004,43410105,469,459,462
134,6/8/2021,747,181070,83703941,468,458,463
135,6/7/2021,1031,178135,82570344,480,444,458
136,6/6/2021,1629,309217,144679524,481,455,466
137,6/3/2021,981,169456,76065412,455,440,450
138,6/2/2021,347,67701,29752161,442,434,440
139,6/1/2021,512,72507,31705933,442,434,437
140,5/31/2021,527,63529,28309424,455,441,442
141,5/30/2021,762,156823,69986932,454,440,448
142,5/27/2021,518,86267,38009238,446,435,444
143,5/25/2021,383,45800,20473614,453,443,446
144,5/24/2021,997,201509,91049976,455,446,452
145,5/23/2021,632,95466,41881247,445,428,445
146,5/20/2021,400,60345,26326379,455,428,437
147,5/19/2021,639,87374,38126741,441,432,435
148,5/18/2021,521,73076,31427368,433,428,433
149,5/17/2021,468,50942,21856013,435,427,428
150,5/16/2021,520,64623,27353243,425,421,425
151,5/13/2021,296,43764,18345744,421,418,419
152,5/12/2021,277,34976,14670662,422,418,419
153,5/11/2021,302,47979,20168425,430,418,421
154,5/10/2021,242,34550,14473616,422,416,420
